ID|Subject|Email_Body|Intent|Mentioned_Location|Mentioned_Price
139|Offer for N18 flat|Dear Agent, following our viewing today, we would like to submit an offer of £380,000 for the 2-bed flat in N18. We are chain-free first-time buyers.|Offer_Submission|N18|£380,000
140|Making an offer to rent|Hi, we loved the semi-detached in E4. We would like to offer the asking price of £2,200 PCM, looking to move in on the 1st of next month.|Offer_Submission|E4|£2,200 PCM
141|offer on camden house|hi there we wanna put in an offer for the terraced house in camden. £850k cash buyer. let me know what the vendor says.|Offer_Submission|Camden|£850k
142|Official Offer - SW1 Leasehold|Good afternoon, I am writing to formally offer £1,150,000 for the leasehold apartment in SW1. Please see attached my AIP and solicitor details.|Offer_Submission|SW1|£1,150,000
143|rent offer|offering 450 pw for the studio in N1. can pay 6 months upfront.|Offer_Submission|N1|£450 pw
144|Offer Submission - CR0|Dear Sirs, we would like to make an offer of £425,000 for the 3-bed house in Croydon. We are currently in a short chain which is almost complete.|Offer_Submission|Croydon|£425,000
145|Revised Offer|Hi, we are willing to increase our offer on the E14 flat to £610,000. This is our final and best offer, please pass it on to the vendor.|Offer_Submission|E14|£610,000
146|(no subject)|ill take the room in tooting SW17 for 800 pcm. send me the holding deposit link pls.|Offer_Submission|SW17|£800 pcm
147|Letting offer|Hello, I'd like to submit an offer for the 2 bed in Islington. Happy to pay the £2,600 PCM but would request the landlord replaces the old boiler before we move in.|Offer_Submission|Islington|£2,600 PCM
148|Buying the freehold property in E8|To whom it may concern, I wish to put forward an offer of £920,000 for the freehold terraced house in E8. My mortgage in principle is sorted.|Offer_Submission|E8|£920,000
149|low offer|hi i know its listed for 500k but it needs a lot of work. ill offer 460,000 for the flat in SE1. chain free.|Offer_Submission|SE1|£460,000
150|Final Offer|Dear Lettings Manager, we are prepared to offer £3,000 PCM for the 4-bedroom house in SW19, provided the council tax is included in the rent.|Offer_Submission|SW19|£3,000 PCM
151|Viewing for Wood Green house|Good morning, I would like to view the 3-bed terraced house in N22. We are chain-free and ready to proceed. Thanks.|Viewing_Request|N22|N/A
152|flat viewing|hi saw the 2 bed on wandsworth rd sw8 for 1900 pcm. can we c it tommorow?|Viewing_Request|SW8|£1900 pcm
153|(no subject)|is the studio in e1 still available for 300 pw?|Viewing_Request|E1|£300 pw
154|Viewing Request: W2 Leasehold|Dear Sir/Madam, please can I book a viewing for the 1-bed leasehold flat in W2 listed at £550k? I would also like to know the service charge.|Viewing_Request|W2|£550k
155|camden viewing|pls book me in for the camden flat tmrw.|Viewing_Request|Camden|N/A
156|Interest in NW3 property|Hello, I am a cash buyer interested in viewing the detached house in Hampstead NW3. Could you let me know the EPC rating before we arrange a time?|Viewing_Request|NW3|N/A
157|viewig|hi want to view the huse in ilford IG1 listed for 450,000|Viewing_Request|IG1|£450,000
158|Student let WC1|To the Lettings Team, my daughter and her friend are looking to rent the 2-bed flat in WC1 for £2,400 PCM. Can we view it on Friday?|Viewing_Request|WC1|£2,400 PCM
159|(no subject)|need to view the e3 flat asap|Viewing_Request|E3|N/A
160|End-of-terrace Greenwich|Good afternoon, we'd like to arrange a viewing for the end-of-terrace property in SE10. We have a mortgage in principle up to £600k.|Viewing_Request|SE10|£600k
161|renting e17|can i view the walthamstow flat for 1600 pcm on saturday morning?|Viewing_Request|E17|£1600 pcm
162|BR3 Detached Viewing|Dear Lettings, I am inquiring about the detached family home in Beckenham BR3. Is it available for a long-term let at £3,200 PCM?|Viewing_Request|BR3|£3,200 PCM
163|sw11 flat|hi is the battersea flat still doing viewings?|Viewing_Request|SW11|N/A
164|Valuation for N17 house|Hi, we are considering putting our 3-bed freehold house in N17 on the market. Can you send someone round next Tuesday to value it?|Valuation_Request|N17|N/A
165|Selling in SW16|Dear Team, we are looking to upsize and need a valuation on our current semi-detached property in Streatham SW16. We bought for £500k 4 years ago.|Valuation_Request|SW16|£500k
166|(no subject)|need a quick market appraisal for my flat in se14. let me know when ur free.|Valuation_Request|SE14|N/A
167|Probate Valuation W5|Good morning, I am the executor for my late uncle's estate and require a formal probate valuation for his house in Ealing W5. Please advise on your fees.|Valuation_Request|W5|N/A
168|HMO Rental Valuation|Hi there, I have just converted a property in E15 into a 5-bed HMO. I need an agent to value the expected rental yield per room.|Valuation_Request|E15|N/A
169|Remortgage valuation N7|Hello, I need an updated valuation on my leasehold flat in Holloway N7 for remortgage purposes. Can you help?|Valuation_Request|N7|N/A
170|sellng my house|hi want to sell my terrace in croydon cr2 hoping for around 400k can u value it|Valuation_Request|CR2|£400k
171|New Landlord - NW10|Dear Lettings Manager, I am completing on a 2-bed flat in Harlesden NW10 next week and want you to manage it. Can you do a rental valuation?|Valuation_Request|NW10|N/A
172|house val|how much is my 3 bed in leytonstone e11 worth now? bought it for 550,000 in 2020.|Valuation_Request|E11|£550,000
173|Freehold Valuation N12|Good afternoon, please arrange a market appraisal for my freehold commercial/residential building in North Finchley N12.|Valuation_Request|N12|N/A
174|valuation needed|hi pls contact me to arrange a valuation for SE24 flat.|Valuation_Request|SE24|N/A
175|Downsizing EN2|Dear Sirs, we are looking to downsize from our 4-bed detached in Enfield EN2 and need to know its current value before we start viewing bungalows.|Valuation_Request|EN2|N/A
176|BOILER BROKEN AGAIN|This is ridiculous! The boiler in the N19 flat is broken AGAIN. We pay £1800 pcm to freeze. Send an engineer TODAY!|Maintenance_Issue|N19|£1800 pcm
177|Faulty induction hob|Good morning, two of the rings on the induction hob in the E8 property have stopped working. Could you arrange a repair?|Maintenance_Issue|E8|N/A
178|MASSIVE LEAK|water coming thru the ceiling in the bathroom in SW6 flat!!! help!!|Maintenance_Issue|SW6|N/A
179|(no subject)|we have mice in the kitchen at the se1 flat. need pest control asap|Maintenance_Issue|SE1|N/A
180|Fire alarm constantly beeping|Dear Property Management, the communal fire alarm panel in the hallway of the W14 block is beeping constantly. It is keeping us awake. Please fix.|Maintenance_Issue|W14|N/A
181|washer broken|the washing machine in nw8 is dead. wont even turn on. pls replace.|Maintenance_Issue|NW8|N/A
182|Damp and Mould E5|To whom it may concern, the damp in the second bedroom in E5 is getting worse and ruining our clothes. We pay our council tax and £2000 rent on time, fix this now!|Maintenance_Issue|E5|£2000
183|Loose roof tile|Hello, I noticed a slipped roof tile on the front of the terraced house in CR0 after last night's storm. Just wanted to report it before it causes a leak.|Maintenance_Issue|CR0|N/A
184|no hot water|hi we have no hot water in N4. boiler pressure is zero.|Maintenance_Issue|N4|N/A
185|FRONT DOOR WONT LOCK|the main lock on the front door in SW9 is completely jammed. we cant leave the house unsecured. send a locksmith urgently!!!|Maintenance_Issue|SW9|N/A
186|Blocked gutters|Dear Lettings, the guttering at the back of the SE22 property is completely blocked with leaves and overflowing when it rains.|Maintenance_Issue|SE22|N/A
187|toilet blocked|hi the toilet in the en-suite in E2 is blocked and plunging isnt working.|Maintenance_Issue|E2|N/A
188|fridge broken|fridge freezer in n15 has stopped cooling. everything is melting. |Maintenance_Issue|N15|N/A
189|Offer for NW1 property|Dear Agent, we would like to formally offer the asking price of £850,000 for the freehold property in NW1. We are chain-free.|Offer_Submission|NW1|£850,000
190|rent offer E1W|hi we loved the flat in wapping E1W. happy to offer £2300 pcm to secure it off market.|Offer_Submission|E1W|£2300 pcm
191|(no subject)|offering 1.2m cash for the sw3 townhouse. take it or leave it.|Offer_Submission|SW3|£1.2m
192|Offer on SE11 flat|Good morning, I wish to submit an offer of £500 pw for the flat in SE11. I am happy to pay 12 months rent upfront.|Offer_Submission|SE11|£500 pw
193|First-time buyer offer N8|Dear Sirs, as first-time buyers with an AIP ready, we would like to offer £525,000 for the 2-bed leasehold flat in N8.|Offer_Submission|N8|£525,000
194|offer|i wanna put in an offer of 400k for the ex-council flat in e9.|Offer_Submission|E9|£400k
195|renting SW18|hi offering asking price of 2500 pcm for the wandsworth house. can move next friday.|Offer_Submission|SW18|£2500 pcm
196|Revised Offer W11|Dear Agent, following the negative survey report, we are revising our offer on the W11 property down to £950,000 to account for the necessary roof repairs.|Offer_Submission|W11|£950,000
197|Offer with pet clause|Hello, we'd like to offer £1,950 PCM for the N16 flat, subject to the landlord adding a pet clause for our well-behaved indoor cat.|Offer_Submission|N16|£1,950 PCM
198|offer BR2|putting in an offer of £600,000 for the semi in BR2. we are in a complete chain.|Offer_Submission|BR2|£600,000
199|FINAL OFFER SE23|Tell the vendor this is my absolute final offer: £730k for the SE23 house. If they don't accept by 5pm tomorrow, I am walking away.|Offer_Submission|SE23|£730k
200|Corporate Let Offer EC1|To the Lettings Director, my company would like to secure the EC1 apartment for a 2-year corporate let. We offer £3,500 PCM.|Offer_Submission|EC1|£3,500 PCM
201|Viewing - Converted warehouse Hackney|Good evening, I'm very interested in the converted warehouse apartment in Hackney Wick at £2,300 pcm. Love the industrial features and high ceilings. Can we arrange a viewing for next week? I'm flexible on timings. Best regards, Sophie|Viewing_Request|Hackney|£2,300
202|boiler making weird noises|the boiler keeps making really loud banging noises especially at night. its quite scary and im worried it might explode or something. can someone come check it out urgently please|Maintenance_Issue||
203|Offer - Detached house Bromley|Dear Sir/Madam, Following our second viewing on Saturday, we would like to offer £725,000 for the 4-bedroom detached house in Bromley. We are chain-free and have a 30% deposit. Our mortgage has been formally offered. Please advise at your earliest convenience. Regards, The Hendersons|Offer_Submission|Bromley|£725,000
204|Valuation request - Terraced house|Hi there, I'm looking to sell my 3-bed Victorian terrace in Forest Hill. Original features, through lounge, nice garden. When can you come and value it? Thinking of listing in May. Thanks, Claire|Valuation_Request|Forest Hill|
205|urgent viewing needed today|hi really need to find somewhere asap. can i view the flat in vauxhall today? any time after 2pm works for me. the one at 1600 pcm. please let me know quickly. desperate! tom|Viewing_Request|Vauxhall|£1,600
206|Leak under kitchen sink|There's a leak under the kitchen sink. Water is dripping into the cupboard below and it's starting to smell musty. I've put towels down but it needs fixing properly. Can you send a plumber?|Maintenance_Issue||
207|Property valuation - Hounslow|Good morning, I need a valuation for my 2-bed flat in Hounslow near the high street. It's leasehold, share of freehold, with allocated parking. Looking to downsize. What's your earliest availability? Kind regards, Brenda|Valuation_Request|Hounslow|
208|Viewing - Family home Ealing|Hello, we're relocating to London for work and your 4-bed house in Ealing looks perfect for our family. Listed at £975,000. Could we view it this weekend? We're serious buyers with finance arranged. The Kowalskis|Viewing_Request|Ealing|£975,000
209|Offer on studio flat - Whitechapel|Hi, I'd like to offer £245,000 for the studio flat in Whitechapel. It's ideal for me as a first-time buyer and close to my work. I have a mortgage offer from Halifax and can proceed quickly. Let me know what the seller thinks. Cheers, Ryan|Offer_Submission|Whitechapel|£245,000
210|front door wont lock properly|the front door lock is really stiff and sometimes wont lock at all. im worried about security. had to really force it this morning. needs fixing asap|Maintenance_Issue||
211|Valuation for house sale - Uxbridge|Dear Agent, I wish to place my 3-bedroom semi-detached house in Uxbridge on the market. Freehold property with garage and conservatory. Could you arrange a valuation and discuss your marketing package? Yours faithfully, Mr. Davies|Valuation_Request|Uxbridge|
212|View maisonette Kentish Town|Good afternoon, interested in viewing the 2-bed maisonette in Kentish Town you're advertising at £1,750 pcm. The private entrance is a big plus. I'm available Tuesday or Thursday evening. Thanks, Priya|Viewing_Request|Kentish Town|£1,750
213|REVISED OFFER - House in Barnes|Further to our discussion, I'm increasing my offer to £1,450,000 for the house in Barnes. This is a significant increase from my original £1,380,000 and represents fair market value given recent comparables. Chain-free buyer. Please confirm urgently. William Chen|Offer_Submission|Barnes|£1,450,000
214|mould growing in bathroom|theres black mould growing all around the bathroom window and on the ceiling. ive tried cleaning it but it just keeps coming back. think theres a ventilation problem. its getting really bad|Maintenance_Issue||
215|Valuation needed - Flat in Feltham|Hi, got a 1-bed flat in Feltham I want to sell. Ground floor, communal garden, lease has about 85 years left. Can you come and value it and tell me what work needs doing to get best price? Ta, Neil|Valuation_Request|Feltham|
216||looking for 2 bed flat to rent in north london. saw yours in finchley at 1800 pcm. still available? can i see it tomorrow? working professional with references. thanks|Viewing_Request|Finchley|£1,800
217|Offer - Period property Crouch End|Good morning, I would like to submit an offer of £895,000 for the 3-bedroom period house in Crouch End. Absolutely fell in love with the original fireplaces and stained glass. We have a 25% deposit and are first-time buyers. Please advise. Best wishes, Hannah|Offer_Submission|Crouch End|£895,000
218|washing machine broken|the washing machine wont turn on at all. tried everything but its completely dead. need it fixed or replaced as i have 2 young kids and loads of laundry to do|Maintenance_Issue||
219|Market appraisal - Detached Ruislip|Good afternoon, I'm considering selling my 4-bed detached in Ruislip. Large plot, off-street parking for 3 cars, recently landscaped garden. What do you think it would achieve in the current market? Regards, Stephen|Valuation_Request|Ruislip|
220|Viewing request - Flat near station|Hi, I work in the city and need something close to a station. Your 1-bed flat near Stratford station at £1,450 pcm looks ideal. Can I view it Wednesday evening? I can move in straight away. Thanks, Abdul|Viewing_Request|Stratford|£1,450
221|Best and final - Flat in Fulham|This is my absolute best and final offer of £625,000 for the 2-bed flat in Fulham. I've been patient through multiple negotiations but cannot go higher. Cash buyer, no survey needed, can complete in 2 weeks. Please get vendor's decision today. Marcus|Offer_Submission|Fulham|£625,000
222|lights flickering in living room|the lights in the living room keep flickering on and off. sometimes they go out completely for a few seconds. worried its an electrical fault that could be dangerous. please get an electrician out|Maintenance_Issue||
223|Valuation - Victorian conversion|Hello, I own the top floor flat in a Victorian conversion in Nunhead. 2 double bedrooms, period features, recently renovated. Looking to sell. Can you value it and explain your fees? Thanks, Gemma|Valuation_Request|Nunhead|
224|view the house on elm street|hi there saw your 3 bed house on elm street listed for 595k. looks nice. can me and my wife see it saturday afternoon around 2? we have our mortgage approved already. let us know. john|Viewing_Request|Elm Street|£595,000
225|Offer on new build apartment|Dear Sirs, I wish to offer £385,000 for the new build 2-bedroom apartment in the Royal Wharf development. I understand completion is scheduled for July. I am a cash buyer and can exchange immediately. Please confirm developer's position. Kind regards, Mrs. Lee|Offer_Submission|Royal Wharf|£385,000
226|NO HOT WATER FOR A WEEK|ITS BEEN A WHOLE WEEK WITH NO HOT WATER NOW. THIS IS COMPLETELY UNACCEPTABLE. IVE CALLED 5 TIMES AND STILL NOTHING. SEND SOMEONE TODAY OR IM WITHHOLDING RENT|Maintenance_Issue||
227|Valuation for retirement flat|Good morning, I need to value my retirement flat in Pinner for sale. It's a 1-bed purpose-built retirement apartment with warden service. Leasehold, ground floor, communal gardens. When can you visit? Regards, Dorothy|Valuation_Request|Pinner|
228|Viewing - Luxury penthouse|Good evening, I am interested in viewing the luxury penthouse in St John's Wood listed at £4,500 pcm. The specification looks excellent. I am a senior executive and can provide company guarantee. Available this week. Dr. Morrison|Viewing_Request|St John's Wood|£4,500
229|Offer for maisonette - Turnpike Lane|Hi, following my viewing yesterday, I'd like to offer £425,000 for the 2-bed maisonette near Turnpike Lane station. It's perfect for me and I'm a first-time buyer with everything ready to go. Hope they accept! Thanks, Lisa|Offer_Submission|Turnpike Lane|£425,000
230|shower head spraying everywhere|the shower head is broken and waters spraying in all directions. impossible to have a proper shower without flooding the bathroom. can you replace it please?|Maintenance_Issue||
231|Valuation - Investment property E17|Hi, I've got a couple of rental properties and need one valued in Walthamstow (E17). Currently let at £1,500 pcm, 2-bed flat, leasehold. Need it for remortgage purposes. Can you help? Cheers, Imran|Valuation_Request|E17|£1,500
232|can i view tonight|hi is the 1 bed flat in camden town still available to view? can i come see it tonight around 7? budget is 1400 pcm max. thanks sarah|Viewing_Request|Camden Town|£1,400
233|Counter offer - House in Sidcup|Good afternoon, the vendor countered at £465,000 but I can only go to £450,000 for the house in Sidcup. This is my absolute maximum given the work needed on the kitchen and bathroom. Please see if they'll accept. Chain-free buyer. Robert|Offer_Submission|Sidcup|£450,000
234|damp smell in cupboard|theres a really strong damp smell coming from the airing cupboard. the carpet inside feels wet and i think theres a leak from the water tank or pipes. needs looking at urgently|Maintenance_Issue||
235|Valuation request - Bungalow|Dear Team, I am looking to sell my 2-bedroom bungalow in Greenford. Freehold, good-sized garden, recently decorated throughout. Could you arrange a valuation appointment this week? I'd also like to discuss your marketing strategy. Thank you, Brian|Valuation_Request|Greenford|
236|Viewing - Cottage style house|Hello, we absolutely love the cottage-style 3-bed house in Chislehurst you have listed at £695,000. The character and charm are exactly what we're looking for. Could we view it this Saturday morning? The Williams family|Viewing_Request|Chislehurst|£695,000
237|Offer - Flat with parking|Hi there, I'd like to offer £355,000 for the 1-bed flat in Wembley Park with allocated parking. The parking space is essential for me. I'm a cash buyer with proof of funds available. Can complete within 6 weeks. Please advise. Thanks, David|Offer_Submission|Wembley Park|£355,000
238|bedroom window wont close|the window in the main bedroom wont close properly. theres a gap at the bottom and cold air is getting in. the handle seems loose. can someone come and fix it?|Maintenance_Issue||
239|Valuation needed urgently|Hi need my house valued ASAP for divorce proceedings. 3-bed terraced in Mitcham, freehold. Solicitor needs the valuation by end of this week. Can you come out in next couple days? Thanks, Gary|Valuation_Request|Mitcham|
240|View converted church flat|Good morning, very intrigued by the converted church flat in Stoke Newington at £2,100 pcm. The high ceilings and arched windows look stunning. When can I view it? I'm a graphic designer working from home. Best, Jacob|Viewing_Request|Stoke Newington|£2,100
241|Final offer - Semi-detached|This is my final offer of £545,000 for the semi-detached in Woodford Green. I've offered £520k and £535k previously. This is genuinely my limit. Mortgage approved, survey booked, solicitor instructed. Need vendor's decision by Friday please. Andrew|Offer_Submission|Woodford Green|£545,000
242|toilet not flushing properly|the toilet isnt flushing properly. water just swirls around but doesnt flush away. think somethings blocked. really need this sorted out quickly|Maintenance_Issue||
243|Property valuation - Mortlake|Good afternoon, I would like to arrange a valuation for my riverside flat in Mortlake. 2 bedrooms, balcony overlooking the Thames, secure parking. Looking to sell in next quarter. What are your fees? Regards, Charlotte|Valuation_Request|Mortlake|
244|viewing for young professional|hi im a young professional looking for a 1 bed flat near transport links. saw yours in borough at 1650 pcm. looks good. can i view it this week? got references from my employer. thanks alex|Viewing_Request|Borough|£1,650
245|Offer on family home - Herne Hill|Dear Agent, We would like to offer £875,000 for the beautiful family home in Herne Hill. It's perfect for our growing family with the garden and proximity to good schools. We are selling our current home (sale agreed) and have mortgage offer. Please present to vendor. The Patels|Offer_Submission|Herne Hill|£875,000
246|heating only works sometimes|the heating is really temperamental. sometimes it works fine but other times it just wont come on at all. think theres a problem with the thermostat or timer. can you get it fixed properly?|Maintenance_Issue||
247|Valuation - Ex-council house|Hi, I bought my house through right to buy in Dagenham about 5 years ago. Want to sell now. It's a 3-bed end of terrace, freehold. What do you reckon it's worth? Can you come round next week? Ta, Sharon|Valuation_Request|Dagenham|
248|Viewing - Art deco apartment|Good evening, I'm fascinated by the art deco apartment in Highbury listed at £2,400 pcm. The period details are magnificent. I'm an architect and would love to view it. Available most afternoons. Kind regards, Sebastian|Viewing_Request|Highbury|£2,400
249|Offer - Investment purchase|Good morning, I would like to offer £295,000 for the 1-bed flat in Barking as a buy-to-let investment. Property is currently tenanted which suits me perfectly. I'm a cash buyer and can complete quickly. Please confirm vendor's response. Mr. Ahmed|Offer_Submission|Barking|£295,000
250|cooker hob not working|two of the rings on the electric cooker hob arent working at all. the other two work fine but i need all four for cooking properly. can you get someone to look at it?|Maintenance_Issue||
251|Valuation for probate - Sutton|Dear Sir/Madam, I require a formal probate valuation for my late aunt's bungalow in Sutton. The property is a 2-bedroom detached bungalow, freehold. Please advise your fees for probate valuations and availability. Yours sincerely, Elizabeth Turner|Valuation_Request|Sutton|
252|can we view the house|saw your listing for the 4 bed house in kingston. looks perfect for us. can we come see it sunday morning? we have 3 kids so need the space. budget is around 850k. the johnsons|Viewing_Request|Kingston|£850,000
253|Increased offer - Property in Teddington|Hi, the vendor rejected my £685,000 offer for the house in Teddington. I'm now offering £705,000 which I believe is fair value. I remain very interested and am a proceedable buyer with mortgage sorted. Please get back to me soon. Thanks, Neil|Offer_Submission|Teddington|£705,000
254|smoke coming from socket|one of the plug sockets in the bedroom was smoking earlier. ive turned off the power to that socket at the fuse box but this is really dangerous. need an emergency electrician out immediately|Maintenance_Issue||
255|Market appraisal needed|Hello, I'm thinking of selling my 2-bed flat in Northwood. It's in a modern development with gym and concierge. What do you think it would fetch? Also interested in your letting service if sale price isn't good enough. Regards, Phillip|Valuation_Request|Northwood|
256|Viewing - Regency townhouse|Good morning, I'm absolutely captivated by the Regency townhouse in Brighton listed at £1,950,000. The period features are exceptional. I'm a cash buyer and would like to arrange a viewing this week if possible. Best regards, Sir James Montague|Viewing_Request|Brighton|£1,950,000
257|Offer for terraced cottage|Hi, I'd like to offer £385,000 for the terraced cottage in Hampton. It's charming and exactly what we've been looking for. We're first-time buyers with 15% deposit and mortgage approved by Lloyds. Hope the seller accepts! Emma & Tom|Offer_Submission|Hampton|£385,000
258|water pressure very low|the water pressure in the whole flat is really low. shower is just a trickle and it takes ages to fill the bath. started about a week ago. can you get someone to check the pipes?|Maintenance_Issue||
259|Valuation - Flat near park|Good afternoon, could you value my 2-bed flat overlooking Clapham Common? It's on the second floor with a balcony, leasehold with 999 years (virtual freehold). Looking to move to the countryside. Thanks, Victoria|Valuation_Request|Clapham|
260|urgent viewing today if possible|hi really need somewhere urgently. landlords selling my current place. can i view the 2 bed flat in tooting today? listed at 1700 pcm. any time after 3pm. please help! mark|Viewing_Request|Tooting|£1,700
261|FINAL OFFER - House in Dulwich|This is categorically my final offer of £1,125,000 for the house in East Dulwich. I've been negotiating for 3 weeks and this is absolutely my ceiling. Chain-free, cash buyer, can complete in 10 days. Need yes or no by 5pm today. Christopher|Offer_Submission|East Dulwich|£1,125,000
262|broken glass in back door|one of the glass panes in the back door is cracked. looks like something hit it. its a security risk and letting in cold air. needs replacing urgently please|Maintenance_Issue||
263|Valuation request - Semi with garage|Hi there, want to sell my 3-bed semi in Edgware. It's got a garage which has been converted to a home office and a nice garden. Freehold. When can you come and value it? Cheers, Mohammed|Valuation_Request|Edgware|
264|View loft apartment|Good evening, I love the loft apartment in Shoreditch you're advertising at £2,600 pcm. The exposed brick and industrial features are exactly my style. I'm a freelance photographer. Can we arrange a viewing? Thanks, Zara|Viewing_Request|Shoreditch|£2,600
265|Offer - House with annexe|Dear Sirs, I would like to offer £795,000 for the 4-bedroom house with annexe in Borehamwood. The annexe is perfect for my elderly mother. I am a cash buyer with funds readily available. No chain. Please advise vendor's position. Kind regards, Mr. Goldstein|Offer_Submission|Borehamwood|£795,000
266|bin cupboard door broken|the door on the communal bin cupboard is broken and hanging off. its attracting rats and looks awful. not really my responsibility but thought you should know. needs fixing|Maintenance_Issue||
267|Valuation for house sale|Good morning, I'm relocating to Manchester for work and need to sell my 2-bed flat in Kilburn. It's leasehold, modern development, with gym facilities. Can you arrange a valuation this week? Thanks, Jessica|Valuation_Request|Kilburn|
268|viewing tomorrow morning|hi can i view the 3 bed house in greenwich tomorrow morning around 10am? saw it listed at 625k. we're cash buyers looking to move quickly. please confirm. thanks paul|Viewing_Request|Greenwich|£625,000
269|Revised offer submission|Good afternoon, following the survey which revealed some issues with the electrics, I'm revising my offer from £440,000 to £415,000 for the flat in Archway. This reflects the estimated £15k rewiring cost. Still very interested. Please discuss with vendor. Simon|Offer_Submission|Archway|£415,000
270|carpet soaking wet|the carpet in the spare bedroom is absolutely soaking wet. no idea where the waters coming from but its really bad. might be a leak from upstairs or under the floorboards. emergency please|Maintenance_Issue||
271|Property valuation - Conversion|Dear Agent, I wish to sell my garden flat in a period conversion in Blackheath. 1 large bedroom, private patio, original features. Leasehold, share of freehold. Please arrange a valuation at your convenience. Yours sincerely, Amanda Price|Valuation_Request|Blackheath|
272|Viewing - Riverside apartment|Hello, I'm very interested in the riverside apartment in Hammersmith at £2,200 pcm. The Thames views are spectacular. I work from home so the balcony would be perfect. Can I view it Thursday evening? Best, Rachel|Viewing_Request|Hammersmith|£2,200
273|Offer on period property|Hi, I'd like to offer £745,000 for the period property in Surbiton. Viewed it twice and love the original features. We're selling our flat (sale agreed) and have mortgage offer from HSBC. Chain moving smoothly. Please advise. The Clarks|Offer_Submission|Surbiton|£745,000
274|balcony door wont lock|the door to the balcony wont lock properly. the mechanism seems broken. its a security issue and im on the ground floor. please get it fixed asap|Maintenance_Issue||
275|Valuation - Townhouse in Richmond|Good afternoon, I'm considering selling my Georgian townhouse in Richmond. 4 bedrooms, sash windows, walled garden. It's a listed building. Do you have experience with period properties? I'd like a valuation and marketing discussion. Regards, Charles|Valuation_Request|Richmond|
276||looking for studio or 1 bed flat max 1200 pcm. saw you have a studio in angel. is it still free? when can i see it? need to move by end of month. desperate. thanks|Viewing_Request|Angel|£1,200
277|Final offer - Flat in Crystal Palace|This is absolutely my final offer of £335,000 for the flat in Crystal Palace. I've offered £315k and £325k previously. I'm a first-time buyer with Help to Buy ISA and cannot stretch any further. Please get vendor's final decision. Lucy|Offer_Submission|Crystal Palace|£335,000
278|fridge freezer not working|the fridge freezer has stopped working completely. everything in the fridge has gone warm and stuff in the freezer is defrosting. need it fixed or replaced today before all my food goes off|Maintenance_Issue||
279|Valuation needed - Flat in Hayes|Hi, got a 2-bed flat in Hayes I want to sell. It's above shops on the high street, leasehold. Not in perfect condition but decent location. What do you think it's worth? Can you come out this week? Dave|Valuation_Request|Hayes|
280|Viewing - Character cottage|Good morning, I'm enchanted by the character cottage in Kew listed at £875,000. The exposed beams and inglenook fireplace are wonderful. We're downsizing from a larger house. Could we view it this weekend? Mr & Mrs Thompson|Viewing_Request|Kew|£875,000
281|Offer - Modern apartment|Dear Agent, I would like to submit an offer of £415,000 for the modern 2-bed apartment in Watford. It's in excellent condition and the location is perfect for my commute. I have a mortgage offer from NatWest and am chain-free. Please confirm receipt. Regards, Stephanie|Offer_Submission|Watford|£415,000
282|outside light not working|the security light outside the front door isnt working. its really dark at night and i feel unsafe coming home late. can you get an electrician to fix or replace it?|Maintenance_Issue||
283|Market appraisal request|Good afternoon, I own a 3-bed semi in Harrow Weald with a large rear extension. Freehold, off-street parking. Considering selling but want to know realistic market value first. When can you visit? Thank you, Rajesh|Valuation_Request|Harrow|
284|viewing this week|hi saw your 2 bed flat in borough advertised at 1850 pcm. looks nice. can i view it wednesday or thursday evening? working in the city so need good transport links. thanks james|Viewing_Request|Borough|£1,850
285|Best offer - House in Chingford|Good morning, this is my very best offer of £565,000 for the house in Chingford. I've been very patient through negotiations. Cash buyer, no chain, survey complete. This is fair market value. Please get vendor's final answer today. Malcolm|Offer_Submission|Chingford|£565,000
286|URGENT flood in bathroom|THERES WATER EVERYWHERE IN THE BATHROOM. THE PIPES UNDER THE SINK HAVE BURST. ITS FLOODING INTO THE HALLWAY. IVE TURNED THE WATER OFF AT THE MAINS. NEED EMERGENCY PLUMBER RIGHT NOW|Maintenance_Issue||
287|Valuation - Detached with land|Hello, I'm selling my 5-bed detached house in Chigwell which sits on a large plot with potential for development. Freehold. Could you value it and discuss marketing to developers as well as families? Thanks, Robert|Valuation_Request|Chigwell|
288|Viewing - Eco-friendly home|Good evening, very interested in the eco-friendly 3-bed house in Twickenham at £825,000. The solar panels and heat pump are exactly what we're looking for. Can we view it this Saturday? We're environmentally conscious buyers. The Greens|Viewing_Request|Twickenham|£825,000
289|Offer on coach house|Hi there, I'd like to offer £495,000 for the converted coach house in Esher. It's unique and charming. I'm a first-time buyer with 30% deposit saved and mortgage agreed with Barclays. Really hope the vendor accepts! Thanks, Oliver|Offer_Submission|Esher|£495,000
290|letterbox stuck|the letterbox flap is stuck and the postman cant deliver mail. hes been leaving cards saying he cant deliver. can someone come and fix it please? its a simple job|Maintenance_Issue||
291|Valuation for shared ownership|Good morning, I own the leasehold on a shared ownership flat in Woolwich (50% share). Looking to sell my share. Can you value it and explain how shared ownership sales work? Thanks, Kayla|Valuation_Request|Woolwich|
292|can i see it tonight|hi is the 1 bed flat in clapham junction still available? can i view it tonight around 6pm? the one for 1550 pcm. im a teacher with good references. let me know asap. thanks emma|Viewing_Request|Clapham Junction|£1,550
